student_id,name,age,gender,location,program,term,coding_score,math_score,enrollment_date,attendance_percent
S0077,Daniel,17,Male,Delhi,Math Explorers,Q4-2024,75,73,2024-08-16,99.87
S0078,Kenneth,16,Female,Delhi,Science Club,Q3-2024,59,56,2024-08-27,88.85
S0079,William,14,Male,Hyderabad,Coding Advanced,Q2-2024,53,87,2023-09-20,88.98
S0080,Eric,18,Other,Hyderabad,Math Explorers,Q1-2024,93,52,2024-12-01,74.44
S0081,Evan,14,Male,Hyderabad,Coding Advanced,Q3-2024,42,43,2024-12-13,85.51
S0082,Sandra,18,Female,Pune,Coding Basics,Q3-2024,70,70,2025-04-01,67.37
S0083,Aaron,12,Female,Bengaluru,Coding Basics,Q1-2024,65,71,2023-12-26,66.07
S0084,Tracy,18,Other,Delhi,Coding Basics,Q2-2024,47,75,2023-07-14,91.03
S0085,Sarah,15,Female,Bengaluru,Math Explorers,Q4-2024,59,76,2025-03-01,97.9
S0086,Tricia,13,Other,Mumbai,Math Explorers,Q1-2024,50,55,2025-01-04,66.26
S0087,Kyle,15,Female,Hyderabad,Science Club,Q3-2024,42,54,2023-06-02,88.12
S0088,John,15,Male,Mumbai,Math Explorers,Q2-2024,67,47,2024-07-02,96.34
S0089,Stacey,18,Male,Pune,Coding Basics,Q2-2024,90,59,2023-06-24,64.97
S0090,Jessica,17,Female,Bengaluru,Math Explorers,Q4-2024,68,45,2025-01-11,89.38
S0091,Chad,16,Female,Pune,Coding Basics,Q2-2024,83,93,2024-11-29,83.05
S0092,Amanda,18,Male,Bengaluru,Science Club,Q3-2024,51,77,2023-07-25,98.76
S0093,David,15,Female,Bengaluru,Math Explorers,Q3-2024,82,46,2024-04-22,76.47
S0094,Stacey,15,Female,Bengaluru,Coding Basics,Q4-2024,45,60,2023-08-25,64.64
S0095,Joseph,18,Female,Hyderabad,Coding Basics,Q4-2024,66,43,2025-02-24,84.91
S0096,Catherine,15,Other,Bengaluru,Coding Basics,Q2-2024,57,75,2023-09-30,77.52
S0097,Sarah,17,Female,Pune,Coding Basics,Q2-2024,85,50,2024-11-25,82.09
S0098,Jessica,12,Male,Pune,Science Club,Q1-2024,81,93,2023-09-22,97.31
S0099,Jennifer,14,Other,Delhi,Science Club,Q4-2024,70,55,2024-02-22,75.34
S0100,Wanda,16,Other,Mumbai,Coding Basics,Q3-2024,89,90,2024-09-04,97.37
S0101,Nathaniel,16,Female,Pune,Math Explorers,Q3-2024,93,77,2025-03-17,77.86
S0102,Zachary,15,Female,Delhi,Science Club,Q4-2024,99,60,2023-07-21,82.87
S0103,John,13,Female,Pune,Math Explorers,Q4-2024,85,98,2023-06-07,99.54
S0104,Matthew,18,Other,Mumbai,Science Club,Q1-2024,48,72,2024-07-18,94.97
S0105,Angela,15,Male,Hyderabad,Science Club,Q1-2024,86,49,2024-07-19,62.99
S0106,Jeffrey,18,Female,Delhi,Science Club,Q1-2024,94,61,2023-06-13,85.07
S0107,Jean,18,Female,Hyderabad,Coding Basics,Q1-2024,55,80,2023-06-03,89.87
S0108,Jeremy,15,Male,Pune,Science Club,Q2-2024,84,59,2025-03-22,72.97
S0109,Anthony,12,Female,Delhi,Math Explorers,Q4-2024,49,55,2023-12-31,66.8
S0110,Chad,12,Other,Bengaluru,Coding Advanced,Q4-2024,98,77,2023-10-20,78.45
S0111,Joshua,14,Female,Delhi,Coding Basics,Q4-2024,97,58,2024-04-30,77.67
S0112,Jason,14,Other,Delhi,Science Club,Q3-2024,69,94,2023-07-30,99.97
S0113,Jennifer,18,Female,Pune,Coding Advanced,Q4-2024,76,62,2025-03-04,60.88
S0114,Ashley,18,Other,Bengaluru,Math Explorers,Q1-2024,76,95,2024-04-20,93.31
S0115,John,14,Male,Hyderabad,Math Explorers,Q2-2024,80,52,2024-04-20,85.13
S0116,Lindsey,17,Other,Pune,Math Explorers,Q4-2024,42,77,2023-09-13,63.61
S0117,Clinton,14,Female,Bengaluru,Coding Advanced,Q2-2024,48,90,2024-09-11,93.22
S0118,Ryan,14,Female,Delhi,Math Explorers,Q1-2024,69,44,2024-03-13,94.41
S0119,Robert,17,Other,Bengaluru,Math Explorers,Q1-2024,90,65,2025-02-17,81.46
S0120,Jessica,15,Female,Delhi,Science Club,Q3-2024,46,83,2024-09-23,61.0
S0121,Denise,16,Female,Hyderabad,Coding Advanced,Q1-2024,80,92,2024-09-01,85.97
S0122,Corey,12,Male,Pune,Coding Basics,Q3-2024,71,47,2024-02-25,95.49
S0123,Jessica,13,Female,Bengaluru,Math Explorers,Q4-2024,77,87,2024-12-30,86.2
S0124,Michelle,18,Female,Hyderabad,Science Club,Q3-2024,42,84,2023-10-29,77.74
S0125,James,13,Female,Pune,Math Explorers,Q3-2024,43,65,2024-06-08,98.73
S0126,Shane,18,Female,Pune,Coding Advanced,Q1-2024,43,90,2024-03-11,99.55
S0127,Isaiah,18,Other,Mumbai,Coding Basics,Q2-2024,77,53,2024-04-12,90.97
S0128,John,18,Other,Pune,Math Explorers,Q2-2024,48,74,2025-04-05,64.4
S0129,Charles,18,Male,Mumbai,Coding Basics,Q3-2024,90,90,2025-01-05,60.63
S0130,Michelle,14,Male,Mumbai,Science Club,Q1-2024,87,44,2024-06-19,91.12
S0131,Corey,16,Other,Pune,Science Club,Q2-2024,100,79,2024-09-06,78.32
S0132,Yvette,12,Male,Bengaluru,Science Club,Q4-2024,83,46,2025-01-27,62.94
S0133,Alexis,12,Female,Hyderabad,Coding Advanced,Q1-2024,48,57,2023-06-30,99.79
S0134,Sara,16,Female,Bengaluru,Science Club,Q1-2024,90,84,2025-02-06,77.2
S0135,Joel,13,Female,Delhi,Science Club,Q4-2024,66,86,2024-02-28,77.07
S0136,Todd,17,Female,Delhi,Coding Advanced,Q4-2024,44,45,2023-10-02,77.28
S0137,Michelle,17,Other,Delhi,Coding Advanced,Q1-2024,77,75,2025-03-19,76.43
S0138,Brian,18,Other,Bengaluru,Coding Basics,Q3-2024,78,59,2024-02-07,83.12
S0139,Aaron,13,Male,Bengaluru,Coding Advanced,Q1-2024,62,94,2024-02-16,90.5
S0140,Joseph,16,Male,Bengaluru,Coding Basics,Q3-2024,41,51,2024-12-18,96.86
S0141,Kristen,14,Male,Mumbai,Coding Advanced,Q4-2024,44,49,2023-11-26,89.84
S0142,Rodney,13,Female,Bengaluru,Science Club,Q3-2024,50,63,2024-11-06,91.07
S0143,Wendy,16,Other,Pune,Coding Basics,Q2-2024,50,88,2024-06-23,70.88
S0144,Dorothy,17,Female,Bengaluru,Science Club,Q4-2024,57,53,2024-05-01,77.2
S0145,Eric,14,Other,Hyderabad,Science Club,Q3-2024,42,54,2023-12-05,60.31
S0146,Jeff,14,Male,Mumbai,Math Explorers,Q3-2024,60,47,2023-06-03,89.88
S0147,Beth,13,Male,Bengaluru,Coding Advanced,Q3-2024,44,65,2024-06-13,60.75
S0148,Bruce,12,Female,Hyderabad,Science Club,Q4-2024,85,80,2023-12-18,64.61
S0149,Brian,12,Female,Mumbai,Science Club,Q3-2024,45,67,2024-07-15,77.43
S0150,Thomas,15,Other,Pune,Science Club,Q3-2024,87,61,2025-04-02,91.16
S0151,Melissa,12,Other,Pune,Coding Advanced,Q3-2024,62,86,2023-08-19,64.11
S0152,Brian,14,Male,Mumbai,Coding Advanced,Q1-2024,51,100,2024-05-17,90.18
S0153,Christopher,18,Other,Bengaluru,Math Explorers,Q3-2024,49,68,2023-09-10,77.69
S0154,Casey,14,Female,Hyderabad,Coding Basics,Q3-2024,72,44,2023-06-10,78.08
S0155,Emma,12,Female,Delhi,Coding Basics,Q1-2024,79,78,2023-10-18,83.21
S0156,Richard,18,Other,Pune,Science Club,Q2-2024,60,78,2025-03-10,98.31
S0157,Ashley,15,Male,Delhi,Coding Basics,Q2-2024,42,55,2024-07-11,80.96
S0158,Brooke,16,Male,Delhi,Math Explorers,Q3-2024,64,66,2024-08-12,91.57
S0159,Christopher,17,Female,Pune,Math Explorers,Q1-2024,75,83,2024-09-10,70.08
S0160,Brandy,18,Other,Hyderabad,Coding Advanced,Q3-2024,45,77,2024-05-29,72.41
S0161,Leslie,17,Other,Bengaluru,Coding Advanced,Q1-2024,59,75,2023-11-07,92.53
S0162,James,17,Other,Hyderabad,Coding Basics,Q4-2024,72,63,2024-10-26,72.35
S0163,Leon,13,Female,Bengaluru,Coding Advanced,Q2-2024,48,49,2023-11-11,93.78
S0164,Randy,12,Other,Hyderabad,Coding Basics,Q3-2024,96,89,2024-09-21,66.17
S0165,Debbie,13,Other,Hyderabad,Coding Advanced,Q4-2024,42,66,2024-04-08,98.78
S0166,Leslie,16,Female,Bengaluru,Coding Advanced,Q2-2024,59,91,2024-11-22,74.71
S0167,Shari,16,Female,Bengaluru,Math Explorers,Q4-2024,72,73,2023-04-26,92.68
S0168,Stephen,18,Other,Mumbai,Math Explorers,Q1-2024,81,70,2024-06-29,88.46
S0169,Wendy,16,Male,Delhi,Coding Basics,Q2-2024,57,68,2023-06-14,63.67
S0170,Amanda,13,Female,Delhi,Coding Basics,Q4-2024,43,65,2024-05-15,75.45
S0171,Joseph,12,Female,Mumbai,Coding Basics,Q3-2024,99,46,2025-04-12,65.5
S0172,Michael,14,Female,Mumbai,Science Club,Q4-2024,79,40,2023-06-11,70.24
S0173,Natasha,18,Male,Hyderabad,Science Club,Q1-2024,89,58,2024-01-31,64.87
S0174,Justin,13,Female,Hyderabad,Science Club,Q1-2024,47,93,2024-03-24,85.28
S0175,Martha,16,Male,Mumbai,Math Explorers,Q4-2024,40,79,2024-10-16,82.83
S0176,Kevin,13,Other,Pune,Math Explorers,Q1-2024,73,74,2025-01-04,94.93
S0177,Destiny,12,Other,Bengaluru,Math Explorers,Q3-2024,87,41,2023-04-25,73.79
S0178,Elizabeth,17,Other,Pune,Math Explorers,Q2-2024,42,62,2024-06-22,93.22
S0179,Kevin,17,Female,Bengaluru,Coding Advanced,Q2-2024,44,85,2024-09-15,71.74
S0180,Dale,12,Male,Pune,Math Explorers,Q3-2024,72,65,2025-03-01,61.46
S0181,Dennis,17,Male,Delhi,Math Explorers,Q1-2024,95,81,2023-07-17,64.98
S0182,Pamela,14,Female,Bengaluru,Science Club,Q4-2024,61,51,2024-11-15,74.69
S0183,Angela,18,Other,Delhi,Coding Basics,Q4-2024,45,67,2023-11-16,72.85
S0184,Juan,12,Female,Delhi,Math Explorers,Q4-2024,78,85,2023-09-29,87.59
S0185,Jennifer,14,Female,Pune,Math Explorers,Q4-2024,57,80,2023-09-24,86.85
S0186,Grace,15,Female,Hyderabad,Coding Advanced,Q1-2024,49,94,2025-02-09,65.05
S0187,Joseph,13,Other,Delhi,Math Explorers,Q4-2024,100,76,2024-05-02,87.16
S0188,John,14,Female,Bengaluru,Coding Basics,Q2-2024,73,63,2025-03-24,85.98
S0189,Meghan,13,Male,Pune,Coding Advanced,Q4-2024,73,64,2023-06-29,91.0
S0190,Cynthia,17,Female,Mumbai,Math Explorers,Q4-2024,52,47,2025-01-22,78.08
S0191,Joshua,17,Female,Pune,Math Explorers,Q3-2024,85,44,2023-04-21,94.05
S0192,Matthew,17,Other,Mumbai,Math Explorers,Q2-2024,47,52,2023-07-29,91.61
S0193,Dana,12,Female,Hyderabad,Math Explorers,Q4-2024,91,75,2023-11-08,62.63
S0194,Evan,15,Other,Bengaluru,Science Club,Q4-2024,92,76,2024-03-27,98.9
S0195,Andrea,17,Male,Bengaluru,Science Club,Q3-2024,48,96,2024-03-16,77.3
S0196,Ann,18,Male,Pune,Coding Advanced,Q3-2024,50,50,2023-07-14,73.84
S0197,Charles,16,Female,Pune,Math Explorers,Q2-2024,80,75,2025-03-04,85.0
S0198,Hannah,16,Other,Pune,Coding Advanced,Q2-2024,50,82,2023-08-12,93.01
S0199,Amy,12,Male,Pune,Math Explorers,Q2-2024,89,76,2025-01-26,79.92
S0200,Mike,17,Other,Delhi,Math Explorers,Q4-2024,55,91,2024-06-21,78.14
S0201,Earl,17,Male,Mumbai,Science Club,Q4-2024,70,69,2023-07-26,84.27
S0202,Bobby,14,Other,Delhi,Math Explorers,Q4-2024,48,88,2024-01-27,72.76
S0203,Rachel,15,Male,Delhi,Science Club,Q2-2024,49,46,2024-12-27,97.82
S0204,Teresa,18,Other,Bengaluru,Coding Advanced,Q2-2024,92,60,2023-05-19,90.52
S0205,Rachel,15,Other,Bengaluru,Science Club,Q3-2024,71,41,2023-09-29,80.22
S0206,Evelyn,13,Male,Hyderabad,Math Explorers,Q1-2024,43,58,2024-09-18,71.43
S0207,Curtis,12,Male,Bengaluru,Coding Advanced,Q3-2024,86,63,2024-12-14,61.81
S0208,Anita,12,Other,Hyderabad,Coding Advanced,Q3-2024,75,58,2025-02-26,80.17
S0209,Richard,18,Other,Delhi,Coding Basics,Q2-2024,46,65,2024-08-13,82.31
S0210,Kara,14,Male,Mumbai,Science Club,Q1-2024,42,42,2025-04-07,92.16
S0211,Sarah,16,Female,Mumbai,Coding Advanced,Q3-2024,99,79,2025-02-18,75.72
S0212,Francisco,16,Other,Delhi,Math Explorers,Q4-2024,85,76,2024-12-30,92.63
S0213,Lisa,14,Female,Pune,Science Club,Q3-2024,90,97,2025-03-03,70.62
S0214,Robert,17,Other,Hyderabad,Coding Advanced,Q1-2024,77,70,2023-09-05,65.91
S0215,Jill,17,Male,Pune,Coding Basics,Q2-2024,41,68,2024-01-02,66.06
S0216,Kimberly,17,Male,Bengaluru,Science Club,Q1-2024,85,48,2024-03-03,99.92
S0217,Leah,15,Other,Bengaluru,Math Explorers,Q2-2024,69,98,2025-02-18,87.03
S0218,Jill,18,Other,Delhi,Science Club,Q2-2024,55,57,2023-10-28,97.66
S0219,Joseph,14,Female,Mumbai,Science Club,Q3-2024,70,62,2024-12-20,64.87
S0220,Jacqueline,17,Other,Bengaluru,Science Club,Q3-2024,89,91,2024-02-10,61.68
S0221,Monica,17,Male,Delhi,Science Club,Q3-2024,87,70,2025-02-13,93.12
S0222,Thomas,14,Other,Delhi,Coding Advanced,Q1-2024,79,87,2023-09-21,62.03
S0223,Lisa,16,Male,Mumbai,Coding Basics,Q1-2024,66,61,2024-04-10,87.25
S0224,Michael,13,Male,Hyderabad,Coding Advanced,Q4-2024,81,99,2025-01-15,86.02
S0225,Laura,18,Female,Delhi,Math Explorers,Q1-2024,98,89,2023-10-12,81.41
S0226,Jeffrey,17,Male,Mumbai,Science Club,Q2-2024,99,98,2024-09-12,91.52
S0227,James,13,Other,Delhi,Coding Basics,Q1-2024,59,76,2023-12-29,71.38
S0228,Joshua,17,Other,Hyderabad,Science Club,Q2-2024,94,72,2023-06-11,67.71
S0229,Tammy,12,Female,Mumbai,Science Club,Q3-2024,85,51,2023-11-21,91.63
S0230,Michael,16,Other,Mumbai,Coding Advanced,Q4-2024,92,67,2024-05-18,76.03
S0231,Ricardo,12,Male,Mumbai,Science Club,Q3-2024,99,55,2025-02-02,75.34
S0232,Amanda,15,Female,Delhi,Math Explorers,Q1-2024,56,81,2025-04-17,62.48
S0233,Anthony,12,Female,Delhi,Coding Advanced,Q4-2024,83,72,2025-02-28,85.55
S0234,Tara,14,Female,Hyderabad,Coding Advanced,Q2-2024,48,70,2023-09-04,89.91
S0235,Beverly,16,Female,Bengaluru,Science Club,Q2-2024,88,55,2023-11-11,81.13
S0236,Benjamin,14,Male,Hyderabad,Coding Basics,Q1-2024,93,75,2024-07-25,66.58
S0237,Ryan,18,Other,Bengaluru,Coding Basics,Q2-2024,85,77,2024-11-04,95.96
S0238,Kristin,15,Male,Bengaluru,Coding Advanced,Q4-2024,69,76,2024-03-22,86.91
S0239,Catherine,14,Other,Pune,Science Club,Q3-2024,92,40,2024-05-20,61.81
S0240,Darrell,14,Other,Pune,Coding Basics,Q1-2024,99,70,2025-03-17,76.35
S0241,Barbara,18,Male,Bengaluru,Math Explorers,Q4-2024,68,95,2023-11-02,63.21
S0242,Bradley,17,Other,Mumbai,Math Explorers,Q1-2024,51,74,2024-03-22,89.11
S0243,Aaron,13,Male,Pune,Math Explorers,Q4-2024,83,86,2025-04-06,92.93
S0244,Lindsay,13,Female,Delhi,Coding Advanced,Q3-2024,52,99,2024-10-03,92.38
S0245,Jennifer,15,Other,Pune,Coding Advanced,Q2-2024,44,46,2024-11-15,83.91
S0246,Jillian,17,Male,Mumbai,Coding Basics,Q4-2024,68,54,2023-09-19,65.61
S0247,Michael,14,Male,Hyderabad,Math Explorers,Q3-2024,55,59,2023-06-12,76.54
S0248,Stacy,14,Male,Hyderabad,Coding Advanced,Q4-2024,75,71,2025-04-03,97.66
S0249,Mark,17,Female,Hyderabad,Math Explorers,Q4-2024,66,49,2023-12-18,67.36
S0250,Elizabeth,16,Female,Mumbai,Coding Advanced,Q3-2024,94,85,2023-07-24,96.59
S0251,Jennifer,16,Female,Bengaluru,Coding Advanced,Q4-2024,55,56,2023-12-08,85.87
S0252,William,15,Female,Pune,Coding Advanced,Q1-2024,57,64,2024-09-17,67.53
S0253,Ricky,18,Other,Hyderabad,Coding Advanced,Q4-2024,53,95,2024-02-25,98.28
S0254,Heidi,12,Male,Mumbai,Coding Basics,Q4-2024,98,55,2024-06-22,96.61
S0255,David,16,Female,Delhi,Science Club,Q4-2024,74,81,2024-03-10,70.46
S0256,Elizabeth,16,Female,Bengaluru,Coding Basics,Q4-2024,88,93,2024-02-07,74.83
S0257,Erica,15,Male,Hyderabad,Coding Advanced,Q2-2024,41,56,2025-03-20,66.1
S0258,Grant,14,Male,Bengaluru,Coding Advanced,Q4-2024,75,81,2024-07-04,90.53
S0259,Kevin,15,Other,Bengaluru,Science Club,Q2-2024,86,90,2024-06-17,65.6
S0260,Martha,16,Female,Mumbai,Coding Basics,Q1-2024,93,94,2023-12-11,90.57
S0261,Justin,15,Male,Mumbai,Coding Basics,Q2-2024,40,53,2024-03-17,62.42
S0262,Kristi,17,Other,Hyderabad,Science Club,Q4-2024,41,40,2024-08-02,60.67
S0263,Diana,17,Female,Hyderabad,Math Explorers,Q1-2024,72,92,2024-04-14,64.28
S0264,Scott,12,Other,Mumbai,Coding Advanced,Q2-2024,79,73,2024-09-24,70.69
S0265,Jason,15,Male,Delhi,Science Club,Q4-2024,76,55,2024-04-20,87.36
S0266,Laura,18,Male,Pune,Coding Basics,Q4-2024,64,64,2024-12-27,85.47
S0267,Jill,17,Male,Pune,Science Club,Q4-2024,81,90,2024-09-11,95.79
S0268,Christopher,12,Male,Mumbai,Science Club,Q3-2024,42,99,2024-05-23,95.97
S0269,Elizabeth,16,Other,Pune,Coding Advanced,Q3-2024,41,53,2024-08-11,97.15
S0270,Matthew,14,Male,Hyderabad,Coding Advanced,Q4-2024,83,97,2025-01-13,90.22
S0271,Stephanie,13,Other,Pune,Math Explorers,Q1-2024,46,67,2023-10-18,73.62
S0272,Emily,18,Other,Hyderabad,Science Club,Q3-2024,41,80,2023-10-10,79.62
S0273,Lindsay,14,Other,Bengaluru,Science Club,Q2-2024,83,77,2023-08-11,90.89
S0274,Andrew,14,Male,Pune,Coding Basics,Q3-2024,49,64,2023-10-26,72.67
S0275,Tracey,12,Male,Pune,Math Explorers,Q4-2024,63,88,2024-08-05,65.3
S0276,Melissa,13,Female,Bengaluru,Science Club,Q1-2024,41,45,2023-06-14,83.88
S0277,Stanley,18,Female,Bengaluru,Coding Basics,Q3-2024,66,64,2025-03-07,82.88
S0278,Crystal,13,Other,Bengaluru,Coding Advanced,Q2-2024,57,59,2023-09-17,65.84
S0279,Jennifer,13,Female,Delhi,Science Club,Q3-2024,70,90,2024-02-11,70.07
S0280,Troy,13,Other,Bengaluru,Coding Advanced,Q4-2024,46,48,2023-10-25,97.95
S0281,Dylan,14,Other,Bengaluru,Math Explorers,Q4-2024,61,67,2024-10-04,72.83
S0282,Adam,17,Male,Bengaluru,Math Explorers,Q2-2024,65,60,2024-11-22,98.71
S0283,Michelle,18,Male,Delhi,Science Club,Q3-2024,92,90,2025-03-06,64.56
S0284,Daniel,16,Male,Hyderabad,Coding Advanced,Q1-2024,100,86,2024-03-14,77.54
S0285,Jeffery,14,Other,Pune,Science Club,Q4-2024,48,80,2025-01-02,70.11
S0286,Susan,13,Other,Bengaluru,Science Club,Q1-2024,68,78,2024-05-25,81.37
S0287,Steven,18,Other,Bengaluru,Coding Basics,Q3-2024,84,97,2024-06-24,90.76
S0288,John,17,Other,Delhi,Coding Advanced,Q1-2024,76,81,2025-02-05,98.63
